tanggal,periode_data,pm10,pm25,so2,co,o3,no2,max,critical,categori,stasiun,_baris_sumber,tanggal_dt,row_param_max,cat_from_raw_max,critical_candidates,jumlah_critical_candidates,critical_final,flag_multi_critical,critical_status,critical_candidates_str,periode_expected,tanggal_raw,periode_data_raw,max_raw,critical_raw,categori_raw,stasiun_raw,jumlah_param_pada_max,flag_multi_param_max,categori_expected,jumlah_parameter_terisi,critical_terisi_flag,duplicate_group_size,duplicate_group_id,duplicate_type,dedup_action,used_for_main_dashboard_kpi
2016-10-10,201610,49.0,,30.0,25.0,21.0,3.0,49.0,PM10,BAIK,DKI1 Bunderan HI,1417,2016-10-10,49.0,BAIK,['PM10'],1,PM10,False,VALID_SINGLE_CRITICAL,PM10,201610,2016-10-10,201610,49.0,PM10,BAIK,DKI1 Bunderan HI,1,False,BAIK,5,1,2,1.0,DUPLIKAT_KONFLIK_NILAI,SEPARATED_TO_DUPLICATE_AUDIT,False
2016-10-10,201610,54.0,,30.0,31.0,20.0,4.0,54.0,PM10,SEDANG,DKI1 Bunderan HI,1418,2016-10-10,54.0,SEDANG,['PM10'],1,PM10,False,VALID_SINGLE_CRITICAL,PM10,201610,2016-10-10,201610,54.0,PM10,SEDANG,DKI1 Bunderan HI,1,False,SEDANG,5,1,2,1.0,DUPLIKAT_KONFLIK_NILAI,RETAINED_IN_FINAL_DATASET,True
2016-11-11,201611,65.0,,31.0,27.0,27.0,4.0,65.0,PM10,SEDANG,DKI1 Bunderan HI,1448,2016-11-11,65.0,SEDANG,['PM10'],1,PM10,False,VALID_SINGLE_CRITICAL,PM10,201611,2016-11-11,201611,65.0,PM10,SEDANG,DKI1 Bunderan HI,1,False,SEDANG,5,1,3,2.0,DUPLIKAT_KONFLIK_NILAI,RETAINED_IN_FINAL_DATASET,True
2016-11-11,201611,55.0,,31.0,26.0,58.0,4.0,58.0,O3,SEDANG,DKI1 Bunderan HI,1449,2016-11-11,58.0,SEDANG,['O3'],1,O3,False,VALID_SINGLE_CRITICAL,O3,201611,2016-11-11,201611,58.0,O3,SEDANG,DKI1 Bunderan HI,1,False,SEDANG,5,1,3,2.0,DUPLIKAT_KONFLIK_NILAI,SEPARATED_TO_DUPLICATE_AUDIT,False
2016-11-11,201611,62.0,,31.0,31.0,47.0,5.0,62.0,PM10,SEDANG,DKI1 Bunderan HI,1450,2016-11-11,62.0,SEDANG,['PM10'],1,PM10,False,VALID_SINGLE_CRITICAL,PM10,201611,2016-11-11,201611,62.0,PM10,SEDANG,DKI1 Bunderan HI,1,False,SEDANG,5,1,3,2.0,DUPLIKAT_KONFLIK_NILAI,SEPARATED_TO_DUPLICATE_AUDIT,False
2020-01-11,202001,34.0,,31.0,25.0,23.0,8.0,34.0,PM10,BAIK,DKI1 Bunderan HI,1874,2020-01-11,34.0,BAIK,['PM10'],1,PM10,False,VALID_SINGLE_CRITICAL,PM10,202001,2020-01-11,202001,34.0,PM10,BAIK,DKI1 Bunderan HI,1,False,BAIK,5,1,2,3.0,DUPLIKAT_KONFLIK_NILAI,SEPARATED_TO_DUPLICATE_AUDIT,False
2020-01-11,202001,49.0,,67.0,18.0,10.0,40.0,67.0,SO2,SEDANG,DKI1 Bunderan HI,1875,2020-01-11,67.0,BAIK,['SO2'],1,SO2,False,CORRECTED_SINGLE_CRITICAL,SO2,202001,2020-01-11,202011,11.0,PM2.5,SEDANG,DKI1 Bunderan HI,1,False,SEDANG,5,1,2,3.0,DUPLIKAT_KONFLIK_NILAI,RETAINED_IN_FINAL_DATASET,True
2020-02-06,202002,50.0,,9.0,26.0,32.0,18.0,50.0,PM10,BAIK,DKI1 Bunderan HI,1901,2020-02-06,50.0,BAIK,['PM10'],1,PM10,False,VALID_SINGLE_CRITICAL,PM10,202002,2020-02-06,202002,50.0,PM10,BAIK,DKI1 Bunderan HI,1,False,BAIK,5,1,2,4.0,DUPLIKAT_KONFLIK_NILAI,SEPARATED_TO_DUPLICATE_AUDIT,False
2020-02-06,202002,39.0,51.0,58.0,15.0,57.0,21.0,58.0,SO2,SEDANG,DKI1 Bunderan HI,1902,2020-02-06,58.0,SEDANG,['SO2'],1,SO2,False,VALID_SINGLE_CRITICAL,SO2,202002,2020-02-06,202202,58.0,SO2,SEDANG,DKI1 Bunderan HI,1,False,SEDANG,6,1,2,4.0,DUPLIKAT_KONFLIK_NILAI,RETAINED_IN_FINAL_DATASET,True
2020-02-11,202002,53.0,51.03030303030303,9.0,24.0,31.0,16.0,53.0,PM10,SEDANG,DKI1 Bunderan HI,1907,2020-02-11,53.0,SEDANG,['PM10'],1,PM10,False,VALID_SINGLE_CRITICAL,PM10,202002,2020-02-11,202002,53.0,PM10,SEDANG,DKI1 Bunderan HI,1,False,SEDANG,6,1,2,5.0,DUPLIKAT_KONFLIK_NILAI,RETAINED_IN_FINAL_DATASET,True
